CourseCode,3,0,2,nd
Year,1,2,4,nan
Times,1,4,5,nan
RaceRound,1,6,7,nan
RaceID,3,0,8,nd
HorseNumber,1,8,10,nan
HorseID,3,0,10,nd
PedigreeID,3,10,18,nd
HorseName,3,18,54,nd
IDM,1,54,59,nan
JockeyScore,1,59,64,nan
InfoScore,1,64,69,nan
CompositeScore,1,84,89,nan
RunningStyle,3,89,90,nd
DistanceFitness,3,90,91,nd
ConditionScore,3,91,92,nd
Rotation,1,92,95,nan
BaseOdds,2,95,100,nan
BasePops,1,100,102,nan
BasePlaceOdds,2,102,107,nan
BasePlacePops,1,107,109,nan
SpecificInfo5,1,109,112,nan
SpecificInfo4,1,112,115,nan
SpecificInfo3,1,115,118,nan
SpecificInfo2,1,118,121,nan
SpecificInfo1,1,121,124,nan
GeneralInfo5,1,124,127,nan
GeneralInfo4,1,127,130,nan
GeneralInfo3,1,130,133,nan
GeneralInfo2,1,133,136,nan
GeneralInfo1,1,136,139,nan
PopScore,2,139,144,nan
TrainScore,2,144,149,nan
StableScore,2,149,154,nan
TrainSignCode,3,154,155,nd
StableEvalCode,3,155,156,nd
JockeyQuinella,2,156,160,nan
RunningScore,2,160,163,nan
HoofCode,3,163,165,nd
HeavyFitness,3,165,166,nd
ClassCode,3,166,168,nd
Brinker,3,170,171,nd
JockeyName,3,171,183,nd
BasisWeight,2,183,186,nan
ApprenticeClass,3,186,187,nd
TrainerName,3,187,199,nd
TrainerDivision,3,199,203,nd
Pre1ResultID,3,203,219,nd
Pre2ResultID,3,219,235,nd
Pre3ResultID,3,235,251,nd
Pre4ResultID,3,251,267,nd
Pre5ResultID,3,267,283,nd
Pre1RaceID,3,283,291,nd
Pre2RaceID,3,291,299,nd
Pre3RaceID,3,299,307,nd
Pre4RaceID,3,307,315,nd
Pre5RaceID,3,315,323,nd
FrameNumber,1,323,324,nan
CompositeSign,3,326,327,nd
IDMSign,3,327,328,nd
InfoSign,3,328,329,nd
JockeySign,3,329,330,nd
StableSign,3,330,331,nd
TrainingSign,3,331,332,nd
RunningSign,3,332,333,nd
TurfFitness,3,333,334,nd
DirtFitness,3,334,335,nd
JockeyCode,3,335,340,nd
TrainerCode,3,340,345,nd
Prize,1,346,352,nan
ClassPrize,1,352,357,nan
ConditionClass,3,357,358,nd
FirstphaseScore,2,358,363,nan
PaceScore,2,363,368,nan
LastphaseScore,2,368,373,nan
PoistionScore,2,373,378,nan
PacePred,3,378,379,nd
MiddlephaseOrder,1,379,381,nan
MiddlephaseDelta,1,381,383,nan
MiddlephaseInOut,3,383,384,nd
LastphaseOrder,1,384,386,nan
LastphaseDelta,1,386,388,nan
LastphaseInOut,3,388,389,nd
OofPrediction,1,389,391,nan
OofDelta,1,391,393,nan
OofInOut,3,393,394,nd
DevelopmentSign,3,394,395,nd
DistanceFitness2,3,395,396,nd
WeightAFD,2,396,399,nan
WeightDeltaAFD,2,399,402,nan
CancelFlag,3,402,403,nd
SexCode,3,403,404,nd
OwnerName,3,404,444,nd
OwnerCode,3,444,446,nd
HorseSignCode,3,446,448,nd
RunningScoreOrder,1,448,450,nan
LsScoreOrder,1,452,454,nan
PaceScoreOrder,1,454,456,nan
LastphaseScoreOrder,1,456,458,nan
PositionScoreOrder,1,458,460,nan
JockeyWin,2,460,464,nan
JockeyPlace,2,464,468,nan
TransportClass,3,468,469,nd
RunningStyle2,3,469,477,nd
Appearance,3,477,501,nd
BodyType,3,477,478,nd
BackLength,3,478,479,nd
BodyLength,3,479,480,nd
HipSize,3,480,481,nd
TomoAngle,3,481,482,nd
BellySize,3,482,483,nd
HeadSize,3,483,484,nd
NeckLength,3,484,485,nd
ChestSize,3,485,486,nd
ShoulderAngle,3,486,487,nd
FrontLegLength,3,487,488,nd
HindLegLength,3,488,489,nd
FrontStepLength,3,489,490,nd
HindStepLength,3,490,491,nd
FrontPastern,3,491,492,nd
HindPastern,3,492,493,nd
TailAngle,3,493,494,nd
TailShaking,3,494,495,nd
BodyComposite1,3,501,504,nd
BodyComposite2,3,504,507,nd
BodyComposite3,3,507,510,nd
HorseRemarks1,3,510,513,nd
HorseRemarks2,3,513,516,nd
HorseRemarks3,3,516,519,nd
StartScore,2,519,523,nan
LateStartPer,2,523,527,nan
LastRunReference,3,527,529,nd
LastRunJockeyCode,3,529,534,nd
PreciousTicketScore,2,534,537,nan
PreciousTicketSign,3,537,538,nd
DowngradingFlag,3,538,539,nd
RunningType,3,539,541,nd
RecuperationType,3,541,543,nd
DisciplineExperience,3,543,544,nd
DistanceExperience,3,544,545,nd
ClassExperience,3,545,546,nd
ChangeStable,3,546,547,nd
DoCastration,3,547,548,nd
ChangeJockey,3,548,549,nd
StableRaceCount,2,559,561,nan
StableDate,3,561,569,nd
StableElapsedDates,2,569,572,nan
PaddockRank,3,622,623,nd
StableRank,3,623,624,nd
